Primary planet name;Star name;Description
Kepler-307 b;Kepler-307;This planet was discovered by the Kepler spacecraft. The planet is part of a multiplanetary system. Its planetary nature has been confirmed using transit timing variations which arise because the planets in one system pull on each other and slightly alter the transit times.
Kepler-306 e;Kepler-306;Kepler-306 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-306 e are still unknown, the object is highly unlikely to be a false positive.
Kepler-306 d;Kepler-306;Kepler-306 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-306 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-306 c;Kepler-306;Kepler-306 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-306 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-306 b;Kepler-306;Kepler-306 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-306 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-305 d;Kepler-305;Kepler-305 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-305 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-305 c;Kepler-305;Kepler-305 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-305 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-305 b;Kepler-305;Kepler-305 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-305 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-304 d;Kepler-304;Kepler-304 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-304 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-304 c;Kepler-304;Kepler-304 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-304 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-304 b;Kepler-304;Kepler-304 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-304 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-303 c;Kepler-303;Kepler-303 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-303 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-303 b;Kepler-303;Kepler-303 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-303 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-302 c;Kepler-302;Kepler-302 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-302 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-302 b;Kepler-302;Kepler-302 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-302 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-301 d;Kepler-301;Kepler-301 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-301 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-301 c;Kepler-301;Kepler-301 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-301 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-301 b;Kepler-301;Kepler-301 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-301 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-300 c;Kepler-300;Kepler-300 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-300 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-300 b;Kepler-300;Kepler-300 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-300 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-299 e;Kepler-299;Kepler-299 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-299 e are still unknown, the object is highly unlikely to be a false positive.
Kepler-299 d;Kepler-299;Kepler-299 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-299 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-299 c;Kepler-299;Kepler-299 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-299 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-299 b;Kepler-299;Kepler-299 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-299 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-298 d;Kepler-298;Kepler-298 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-298 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-298 c;Kepler-298;Kepler-298 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-298 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-298 b;Kepler-298;Kepler-298 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-298 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-297 c;Kepler-297;Kepler-297 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-297 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-297 b;Kepler-297;Kepler-297 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-297 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-296 Af;Kepler-296 A;Kepler-296 Af has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-296 Af are still unknown, the object is highly unlikely to be a false positive. New analysis with high resolution imaging by Hubble Space Telescope shows a binary star system, where it is not clear, if this planet orbits component A or B. The data presented here are the calculated values in case of orbiting component A. In case of orbiting component B, this planet would reside in a habitable zone.
Kepler-296 Ae;Kepler-296 A;Kepler-296 Ae has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-296 Ae are still unknown, the object is highly unlikely to be a false positive. New analysis with high resolution imaging by Hubble Space Telescope shows a binary star system, where it is not clear, if this planet orbits component A or B. The data presented here are the calculated values in case of orbiting component A.
Kepler-296 Ad;Kepler-296 A;Kepler-296 Ad has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-296 Ad are still unknown, the object is highly unlikely to be a false positive. New analysis with high resolution imaging by Hubble Space Telescope shows a binary star system, where it is not clear, if this planet orbits component A or B. The data presented here are the calculated values in case of orbiting component A.
Kepler-296 Ac;Kepler-296 A;Kepler-296 Ac has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-296 Ac are still unknown, the object is highly unlikely to be a false positive. New analysis with high resolution imaging by Hubble Space Telescope shows a binary star system, where it is not clear, if this planet orbits component A or B. The data presented here are the calculated values in case of orbiting component A.
Kepler-296 Ab;Kepler-296 A;Kepler-296 Ab has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-296 Ab are still unknown, the object is highly unlikely to be a false positive. New analysis with high resolution imaging by Hubble Space Telescope shows a binary star system, where it is not clear, if this planet orbits component A or B. The data presented here are the calculated values in case of orbiting component A.
Kepler-295 d;Kepler-295;Kepler-295 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-295 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-295 c;Kepler-295;Kepler-295 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-295 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-295 b;Kepler-295;Kepler-295 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-295 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-294 c;Kepler-294;Kepler-294 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-294 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-294 b;Kepler-294;Kepler-294 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-294 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-293 c;Kepler-293;Kepler-293 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-293 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-293 b;Kepler-293;Kepler-293 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-293 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-292 f;Kepler-292;Kepler-292 f has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-292 f are still unknown, the object is highly unlikely to be a false positive.
Kepler-292 e;Kepler-292;Kepler-292 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-292 e are still unknown, the object is highly unlikely to be a false positive.
Kepler-292 d;Kepler-292;Kepler-292 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-292 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-292 c;Kepler-292;Kepler-292 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-292 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-292 b;Kepler-292;Kepler-292 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-292 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-291 c;Kepler-291;Kepler-291 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-291 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-291 b;Kepler-291;Kepler-291 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-291 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-290 c;Kepler-290;Kepler-290 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-290 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-290 b;Kepler-290;Kepler-290 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-290 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-289 c;Kepler-289;Kepler-289 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-289 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-289 b;Kepler-289;Kepler-289 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-289 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-288 d;Kepler-288;Kepler-288 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-288 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-288 c;Kepler-288;Kepler-288 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-288 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-288 b;Kepler-288;Kepler-288 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-288 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-287 c;Kepler-287;Kepler-287 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-287 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-287 b;Kepler-287;Kepler-287 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-287 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-286 e;Kepler-286;Kepler-286 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-286 e are still unknown, the object is highly unlikely to be a false positive.
Kepler-286 d;Kepler-286;Kepler-286 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-286 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-286 c;Kepler-286;Kepler-286 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-286 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-286 b;Kepler-286;Kepler-286 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-286 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-285 c;Kepler-285;Kepler-285 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-285 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-285 b;Kepler-285;Kepler-285 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-285 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-284 c;Kepler-284;Kepler-284 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-284 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-284 b;Kepler-284;Kepler-284 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-284 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-283 c;Kepler-283;Kepler-283 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-283 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-283 b;Kepler-283;Kepler-283 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-283 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-282 e;Kepler-282;Kepler-282 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-282 e are still unknown, the object is highly unlikely to be a false positive.
Kepler-282 d;Kepler-282;Kepler-282 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-282 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-282 c;Kepler-282;Kepler-282 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-282 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-282 b;Kepler-282;Kepler-282 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-282 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-281 c;Kepler-281;Kepler-281 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-281 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-281 b;Kepler-281;Kepler-281 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-281 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-280 c;Kepler-280;Kepler-280 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-280 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-280 b;Kepler-280;Kepler-280 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-280 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-279 d;Kepler-279;Kepler-279 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-279 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-279 c;Kepler-279;Kepler-279 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-279 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-279 b;Kepler-279;Kepler-279 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-279 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-278 c;Kepler-278;Kepler-278 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-278 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-278 b;Kepler-278;Kepler-278 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-278 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-277 c;Kepler-277;This planet was discovered by the Kepler spacecraft. The planet is part of a multiplanetary system. Its planetary nature has been confirmed using transit timing variations which arise because the planets in one system pull on each other and slightly alter the transit times.
Kepler-277 b;Kepler-277;This planet was discovered by the Kepler spacecraft. The planet is part of a multiplanetary system. Its planetary nature has been confirmed using transit timing variations which arise because the planets in one system pull on each other and slightly alter the transit times.
Kepler-276 d;Kepler-276;Kepler-276 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-276 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-276 c;Kepler-276;Kepler-276 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-276 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-276 b;Kepler-276;Kepler-276 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-276 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-275 d;Kepler-275;Kepler-275 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-275 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-275 c;Kepler-275;Kepler-275 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-275 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-275 b;Kepler-275;Kepler-275 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-275 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-274 c;Kepler-274;Kepler-274 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-274 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-274 b;Kepler-274;Kepler-274 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-274 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-273 c;Kepler-273;Kepler-273 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-273 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-273 b;Kepler-273;Kepler-273 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-273 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-272 d;Kepler-272;Kepler-272 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-272 d are still unknown, the object is highly unlikely to be a false positive.
Kepler-272 c;Kepler-272;Kepler-272 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-272 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-272 b;Kepler-272;Kepler-272 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-272 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-271 c;Kepler-271;Kepler-271 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-271 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-271 b;Kepler-271;Kepler-271 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-271 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-270 c;Kepler-270;Kepler-270 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-270 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-270 b;Kepler-270;Kepler-270 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-270 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-269 c;Kepler-269;Kepler-269 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-269 c are still unknown, the object is highly unlikely to be a false positive.
Kepler-269 b;Kepler-269;Kepler-269 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-269 b are still unknown, the object is highly unlikely to be a false positive.
Kepler-268 c;Kepler-268;Kepler-268 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-268 c are still unknown, the object is highly unlikely to be a false positive.
